# SCV canonical PEOPLE — sourced from https://scvhistory.wpengine.com/people/
# Add new names below. Lines starting with # are comments. Blank lines ignored.
# Format: "Last, First" or "Last, First [Suffix]" (SCV convention).
# Some entries are not individual people (e.g., "Artists (Fine Arts)",
# "Sheriffs of L.A. County") — treated as PERSON for now; retag later.

Swanson, Kristy
Szabo, Suzie
Tanner, Les
Tapia Family of Castaic
Tarantino, Quentin
Taylor, "Tiny Ron"
Tcherkassky, Michael & Paulette
Teague, Ruth
Templeton, Larry
Terrell, John J.
Texeria, Gus
Thatcher, A.B.
Thibaudeau Family
Thirkettle, Jim
Thomas, Albert Edward
Thompson, Sam
Thornhill, Gary
Thornton, Larry
Tisdale, Ashley
Todd-Eckard, Dean Glen Jr.
Todd, Margaret
Tolfree Family
Toney, Ed
Towsley, Darius
Trejo, Joe
Tretta, Mia
Triem, Judy
Trosper, Jennifer
Trueblood Family
Trueblood-Davis, Bobbie
Trueblood, Fred III
Trueblood, Fred Sr.
Truger, Denny H.
Truman, Ben C.
Tucker, Simeon
Turnbull, Gary Allen
Turner, Frank & Lee
Twinning, Jack Wright
Valenzuela, John
Van Hook, Dianne G.
Van Valkenburgh, Richard F.
Vasquez, Tiburcio
Veloz, David
Veloz, Tom
Veluzat Family
Veluzat, Rene
Ventress, Jim
Verbiesen, Arnie
Vereen, Shane
Vernon, Tom
Vibe, Andrea
Villaseñor, Pamela
Villegas, Ernie
Von Buelow, Michael
Vradenburg, Diane
Vukovich, Billy
Walk, Bob
Walker Family of Placerita
Walker, Paul
Wallace, Matt
Walper, Andree
Wanamaker, Marc
Ward, Baxter
Ward, John Amos
Ward, Leonard
Ware, Bob
Warford, Robert & Pat
Warholic, Larry
Warmuth Family
Watson, Dan
Wayman, Joyce
Wayne, John
Weaver, Dennis
Webber, Judy
Weber, Bob
Weireter, Hillary
Weitzel, Barbara Cash
Welch, Harry
Wesski, Hans
Weste, Laurene
Westover, Winifred (Hart)
Wheeler, Jeff
Whilton, Emery M.
Whisler, Robert L.
White, Bill (CHS)
White, Dan
White, Manuel
White, Mimi
Whitley, David
Whitmore, Frank Pike
Whitney, Frances
Whyte, Tim
Wicks, Randy
Wiley, Henry C.
Wilk, Scott
Wilke, Bob
Wilkings, Marshall
Willard, Mike
Williams, Tex
Williams, Warren E.
Williamson, Robert S.
Wilson, Pete
Wilson, Robert Michael
Winger, Marc
Wingfield, Garry
Wingo, Dorcey
Winkler Family of Romero Canyon
Woelke, Don
Wolfskill, William
Wood, Fielding S.
Woods, Pat
Woodside, Pamm
Worden-Roberts, Connie
Worden, Leon
Worth, Daniel
Wright, Cathie
Wright, Chuck
Wright, John Ellsworth
Wullschleger, Kenneth
Wütherich, Rolf
Yanez Family of Newhall
Yant, Milford
Yocum, Donna
Youle, William E.
Young, Koren
Young, Loretta
Yurosek, Mike & Sue
Zaring, Billy
Zima, John
Zimmer, Steven
